Poprawnych,Poprawionych,Zepsutych,Niewykryte
845,34,259,6
851,29,258,6
861,22,248,13
852,28,253,11
848,31,261,4
860,33,243,8
845,41,254,4
884,30,219,11
874,27,235,8
866,24,244,10
853,21,257,13
856,21,259,8
862,21,255,6
850,25,264,5
832,45,267,0
837,25,273,9
817,30,289,8
871,22,248,3
869,23,247,5
861,22,250,11
850,29,256,9
843,30,264,7
874,27,240,3
861,35,239,9
862,33,244,5
841,39,256,8
846,35,257,6
856,32,248,8
877,26,230,11
859,27,248,10
857,31,246,10
843,34,263,4
842,26,265,11
836,31,267,10
845,30,266,3
850,28,256,10
861,25,252,6
870,21,246,7
871,15,255,3
848,27,259,10
855,22,257,10
865,17,255,7
881,25,232,6
883,22,230,9
844,32,261,7
850,26,260,8
856,40,241,7
874,24,235,11
857,26,249,12
863,30,246,5
851,31,253,9
872,17,240,15
860,31,247,6
853,25,256,10
836,44,255,9
844,27,265,8
831,32,276,5
844,32,259,9
852,29,255,8
862,24,248,10
852,30,251,11
862,30,247,5
843,31,262,8
853,32,254,5
873,26,238,7
872,29,233,10
880,21,236,7
850,25,259,10
880,20,241,3
870,34,234,6
858,28,251,7
861,30,250,3
852,34,250,8
887,23,226,8
878,25,233,8
879,29,229,7
868,31,240,5
856,24,258,6
852,19,258,15
862,20,256,6
851,30,256,7
859,21,248,16
859,27,248,10
863,29,248,4
865,26,241,12
869,26,239,10
882,12,240,10
837,30,267,10
843,32,261,8
836,32,268,8
865,21,250,8
859,28,248,9
858,23,250,13
846,38,252,8
864,24,249,7
857,23,252,12
864,21,254,5
846,35,261,2
859,35,245,5
874,19,247,4
881,24,235,4
873,30,233,8
848,29,262,5
864,29,243,8
873,23,239,9
876,24,234,10
856,30,248,10
858,22,257,7
854,31,258,1
847,28,268,1
841,32,264,7
864,24,246,10
837,27,277,3
854,26,254,10
854,25,261,4
851,30,257,6
876,16,240,12
880,16,242,6
854,26,253,11
867,27,237,13
850,31,258,5
860,20,256,8
840,34,260,10
859,21,247,17
845,31,258,10
852,26,256,10
843,25,269,7
876,26,240,2
857,32,246,9
869,24,243,8
847,23,269,5
829,28,275,12
840,24,270,10
822,41,276,5
857,16,261,10
830,35,271,8
836,34,269,5
836,18,279,11
871,30,238,5
874,29,239,2
866,27,242,9
866,23,243,12
861,28,249,6
843,26,264,11
828,37,276,3
845,29,261,9
866,34,238,6
865,28,241,10
866,31,237,10
855,23,259,7
863,25,245,11
836,26,273,9
841,36,263,4
840,27,268,9
869,35,234,6
870,26,240,8
870,30,240,4
846,22,272,4
830,23,283,8
832,28,274,10
877,25,231,11
865,34,238,7
880,26,227,11
859,31,249,5
874,22,241,7
840,28,270,6
842,27,265,10
871,21,244,8
876,29,232,7
868,31,236,9
884,28,225,7
880,27,230,7
852,31,253,8
861,23,246,14
852,24,259,9
850,27,260,7
849,20,261,14
