Poprawnych,Poprawionych,Zepsutych,Niewykryte
649,188,31,132
676,210,83,31
670,194,56,80
732,175,29,64
632,216,61,91
610,221,40,129
679,202,42,77
653,222,42,83
615,221,62,102
676,206,57,61
666,201,46,87
653,205,44,98
668,203,61,68
649,228,41,82
658,209,73,60
666,195,46,93
612,208,43,137
637,216,64,83
645,195,52,108
636,212,54,98
640,208,77,75
603,224,43,130
659,212,49,80
582,237,65,116
664,188,45,103
587,240,22,151
688,197,31,84
681,212,42,65
622,218,39,121
664,197,59,80
643,216,48,93
627,215,42,116
646,194,27,133
654,187,46,113
668,190,32,110
724,182,29,65
599,230,47,124
618,222,55,105
644,214,69,73
640,212,65,83
644,212,46,98
586,229,50,135
643,225,68,64
656,197,31,116
650,215,50,85
672,213,37,78
672,194,55,79
629,224,57,90
585,239,45,131
638,210,42,110
629,227,73,71
646,200,36,118
591,223,37,149
615,219,63,103
642,213,45,100
664,204,45,87
674,210,53,63
656,203,50,91
625,225,40,110
655,204,77,64
646,210,49,95
639,218,28,115
661,219,35,85
653,207,57,83
637,200,54,109
669,205,34,92
651,214,90,45
659,222,51,68
603,226,56,115
710,189,29,72
660,220,33,87
632,228,52,88
670,197,66,67
646,220,30,104
634,212,54,100
654,208,50,88
581,222,49,148
666,203,49,82
611,220,55,114
636,212,64,88
703,181,50,66
629,198,47,126
655,212,45,88
625,229,54,92
635,207,41,117
629,213,82,76
606,229,75,90
629,219,64,88
657,223,40,80
611,215,44,130
647,211,59,83
665,201,46,88
614,229,70,87
644,231,57,68
634,216,64,86
681,213,41,65
696,189,37,78
687,207,30,76
674,204,49,73
661,217,55,67
599,216,45,140
670,207,50,73
672,193,35,100
633,224,54,89
611,229,40,120
602,239,53,106
585,221,80,114
613,219,27,141
624,220,45,111
617,222,36,125
615,228,44,113
647,224,37,92
593,234,62,111
686,203,52,59
646,223,53,78
624,215,42,119
638,225,37,100
728,178,42,52
664,218,51,67
623,234,29,114
624,197,60,119
608,226,54,112
640,229,40,91
649,207,38,106
647,218,23,112
672,232,42,54
616,239,52,93
618,222,59,101
674,203,30,93
625,215,41,119
640,233,18,109
647,204,57,92
619,233,30,118
593,229,66,112
673,223,42,62
675,191,79,55
626,220,41,113
594,231,61,114
606,236,34,124
618,229,58,95
672,205,33,90
648,222,26,104
703,193,55,49
636,232,45,87
691,178,57,74
627,213,28,132
639,216,48,97
682,206,43,69
674,211,37,78
628,209,62,101
669,220,32,79
589,220,39,152
649,202,37,112
615,219,59,107
563,235,63,139
640,206,51,103
616,223,74,87
635,201,89,75
663,225,59,53
643,206,42,109
632,227,30,111
664,200,36,100
614,218,38,130
636,210,68,86
642,213,45,100
696,192,53,59
626,221,39,114
647,205,42,106
638,216,52,94
673,220,39,68
634,215,53,98
651,208,33,108
681,215,22,82
645,212,42,101
648,214,27,111
687,188,36,89
629,229,30,112
687,221,41,51
655,208,36,101
628,212,50,110
640,216,54,90
666,215,26,93
645,220,58,77
616,212,82,90
655,218,23,104
676,196,59,69
651,201,81,67
618,226,63,93
649,203,44,104
639,210,50,101
695,203,36,66
643,229,48,80
601,235,73,91
694,160,59,87
621,217,47,115
647,207,61,85
596,216,66,122
656,193,22,129
608,240,37,115
637,216,80,67
611,230,26,133
615,219,85,81
621,227,28,124
630,219,64,87
658,189,54,99
694,187,57,62
639,201,48,112
664,209,49,78
626,217,24,133
676,191,39,94
648,203,28,121
593,228,44,135
637,216,22,125
574,235,47,144
658,206,53,83
686,201,49,64
608,232,38,122
701,183,50,66
653,203,47,97
649,220,31,100
681,197,57,65
623,200,57,120
652,193,47,108
651,205,46,98
631,212,46,111
624,217,59,100
655,214,54,77
669,211,46,74
640,230,47,83
676,190,55,79
679,194,52,75
635,211,47,107
624,222,32,122
709,176,30,85
632,219,37,112
649,213,50,88
609,214,58,119
656,212,53,79
628,228,37,107
698,206,45,51
634,199,66,101
624,199,58,119
675,214,60,51
621,208,48,123
623,232,56,89
612,220,47,121
694,196,51,59
613,231,64,92
630,229,48,93
631,209,45,115
660,200,63,77
632,224,35,109
653,216,32,99
635,201,48,116
723,169,45,63
588,210,67,135
648,212,54,86
665,208,40,87
659,217,33,91
638,204,49,109
692,188,39,81
645,222,43,90
755,169,18,58
603,223,54,120
667,207,54,72
636,209,26,129
608,219,44,129
688,190,38,84
619,231,73,77
617,199,36,148
588,237,41,134
611,207,45,137
642,198,82,78
595,221,47,137
610,220,68,102
647,191,45,117
641,216,49,94
635,223,54,88
667,212,67,54
685,201,31,83
580,224,79,117
618,216,60,106
611,213,49,127
597,227,44,132
646,219,81,54
650,222,48,80
700,174,28,98
658,201,42,99
623,220,87,70
640,209,62,89
628,227,53,92
653,215,47,85
617,217,35,131
648,212,31,109
668,198,33,101
670,187,38,105
615,242,37,106
668,203,41,88
616,210,59,115
657,206,27,110
651,205,60,84
606,223,66,105
682,201,54,63
604,217,39,140
687,184,31,98
710,186,42,62
572,230,57,141
619,231,27,123
611,224,78,87
645,207,56,92
606,226,33,135
656,204,64,76
662,209,41,88
691,201,58,50
638,216,37,109
625,221,46,108
598,227,52,123
655,231,27,87
586,227,68,119
610,224,40,126
633,218,46,103
685,213,39,63
689,194,36,81
631,235,38,96
631,219,54,96
658,183,66,93
639,209,77,75
755,162,35,48
659,216,40,85
629,219,48,104
623,203,42,132
636,207,41,116
619,221,84,76
643,212,69,76
586,235,49,130
669,207,71,53
636,213,70,81
657,203,37,103
642,232,42,84
590,219,55,136
634,224,68,74
695,198,32,75
632,214,34,120
643,207,53,97
650,225,45,80
